OBJECTID,NAME20,ALAND20,AWATER20,GEOID,NAME,DP03_0001E,DP03_0002E,DP03_0003E,DP03_0004E,DP03_0005E,DP03_0006E,DP03_0007E,DP03_0008E,DP03_0009P,DP03_0010E,DP03_0011E,DP03_0012E,DP03_0013E,DP03_0014E,DP03_0015E,DP03_0016E,DP03_0017E,DP03_0018E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0023E,DP03_0024E,DP03_0025E,DP03_0026E,DP03_0027E,DP03_0028E,DP03_0029E,DP03_0030E,DP03_0031E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E,DP03_0047E,DP03_0048E,DP03_0049E,DP03_0050E,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E,DP03_0064E,DP03_0065E,DP03_0066E,DP03_0067E,DP03_0068E,DP03_0069E,DP03_0070E,DP03_0071E,DP03_0072E,DP03_0073E,DP03_0074E,DP03_0075E,DP03_0076E,DP03_0077E,DP03_0078E,DP03_0079E,DP03_0080E,DP03_0081E,DP03_0082E,DP03_0083E,DP03_0084E,DP03_0085E,DP03_0086E,DP03_0087E,DP03_0088E,DP03_0089E,DP03_0090E,DP03_0091E,DP03_0092E,DP03_0093E,DP03_0094E,DP03_0095E,DP03_0096E,DP03_0097E,DP03_0098E,DP03_0099E,DP03_0100E,DP03_0101E,DP03_0102E,DP03_0103E,DP03_0104E,DP03_0105E,DP03_0106E,DP03_0107E,DP03_0108E,DP03_0109E,DP03_0110E,DP03_0111E,DP03_0112E,DP03_0113E,DP03_0114E,DP03_0115E,DP03_0116E,DP03_0117E,DP03_0118E,DP03_0119P,DP03_0120P,DP03_0121P,DP03_0122P,DP03_0123P,DP03_0124P,DP03_0125P,DP03_0126P,DP03_0127P,DP03_0128P,DP03_0129P,DP03_0130P,DP03_0131P,DP03_0132P,DP03_0133P,DP03_0134P,DP03_0135P,DP03_0136P,DP03_0137P,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,TRACTCE,SHAPEAREA,SHAPELEN
145,88.04,778052,0,11001008804,"Census Tract 88.04; District of Columbia; District of Columbia",2576,2018,2018,1728,290,0,558,2018,14.4,1481,1014,1014,859,201,140,382,303,1685,374,49,691,31,55,485,35.1,1728,925,159,302,221,121,1728,0,173,35,7,162,52,68,47,346,192,153,96,397,1728,1206,489,33,0,1569,111,58,84,121,282,144,388,190,107,84,66172,85723,1359,94668,120,13612,28,25407,77,14271,155,6571,315,576,40,11,0,43,240,16,27,116,63,20,46673,82479,44056,993,95073,87572,58417,49848,93359,3063,2907,1554,1471,156,674,0,2271,1976,1686,1582,1337,337,104,290,257,57,200,33,295,283,11,272,12,16.3,16,20,14,19.7,0,71.8,100,100,16.3,26.9,26.9,38.8,20.7,13.8,12.8,33.1,17.7,14,ACS_Economic_DC_CensusTract_148,,{13B0082B-F82B-4503-AA13-A4736E0E708A},008804,0,0
146,89.03,305651,0,11001008903,"Census Tract 89.03; District of Columbia; District of Columbia",2811,2273,2273,1853,420,0,538,2273,18.5,1499,1152,1152,898,228,143,909,691,1853,991,57,474,38,45,248,33,1853,1326,280,214,33,0,1853,0,45,58,0,60,63,50,78,666,358,184,61,230,1853,1423,430,0,0,1781,167,38,285,129,25,332,425,155,49,176,57679,79439,1330,93619,127,11384,235,34267,109,10973,254,13185,478,692,175,0,92,44,0,98,162,8,60,53,51017,65195,35419,1089,73060,82818,45792,80372,53125,4006,3956,1831,2242,50,1256,0,2608,2215,1795,1745,1448,297,50,420,420,0,420,0,393,393,147,246,0,33.7,49.5,100,0,0,0,68.1,70.6,100,25,52.2,52.2,67.1,48.4,13.7,14.5,0,35.2,9.4,ACS_Economic_DC_CensusTract_149,,{6F34A772-74FB-4489-96C2-DE883F9F3CB0},008903,0,0
147,89.04,449343,0,11001008904,"Census Tract 89.04; District of Columbia; District of Columbia",3136,2511,2511,2324,187,0,625,2511,7.4,1575,1168,1168,1039,242,176,656,585,2224,951,295,528,10,150,290,29,2324,827,784,321,277,115,2324,29,255,0,0,174,96,15,127,526,585,211,122,184,2324,1732,484,108,0,1970,168,55,106,192,295,455,257,166,65,211,57770,77541,1694,82587,304,16381,127,30614,107,10358,195,1614,609,871,33,12,49,72,174,266,27,76,50,112,56417,84210,36009,1099,59477,70867,44237,55022,61731,3973,3591,2208,1689,382,898,0,2816,2453,2266,1978,1675,455,288,187,161,87,122,26,363,295,37,258,68,5.7,6.7,25,0,0,0,4,1.8,100,12.1,6.3,6.3,3.3,7.3,13.8,12,33.6,7.7,19.5,ACS_Economic_DC_CensusTract_150,,{77E5AC3A-CE38-40FA-83B6-DB5804B24335},008904,0,0
148,88.02,468578,0,11001008802,"Census Tract 88.02; District of Columbia; District of Columbia",3706,2929,2920,2643,277,9,777,2920,9.5,1767,1365,1365,1287,299,256,490,368,2633,922,239,582,198,152,540,35.1,2643,1469,338,325,203,308,2643,0,224,73,11,86,146,80,100,548,347,310,347,371,2643,1957,610,76,0,1891,74,83,101,63,198,351,142,394,104,381,76987,123961,1562,139304,321,11002,259,22074,108,11568,141,4321,194,853,30,51,76,33,72,101,37,132,57,264,126827,142899,50981,1038,75316,92969,63601,80469,81657,4540,4402,3047,1704,138,985,0,3208,2868,2604,2583,2314,314,21,264,199,51,155,65,340,288,62,234,52,20,36.4,21.5,0,0,0,57.2,69.1,100,22.5,46.1,46.1,15.4,56.1,16.5,15.1,29.4,26.3,16.1,ACS_Economic_DC_CensusTract_151,,{52F5619F-212B-4BFA-ACF1-9174253550D6},008802,0,0
149,98.10,398419,14058,11001009810,"Census Tract 98.10; District of Columbia; District of Columbia",1774,1137,1137,1029,108,0,637,1137,9.5,1062,727,727,645,95,49,426,354,990,494,67,309,0,52,68,39.7,1029,243,372,309,39,66,1029,0,39,0,0,111,181,0,42,156,309,151,0,40,1029,835,194,0,0,1221,225,50,187,141,146,217,104,128,0,23,35750,47191,964,52096,141,11599,197,13484,152,12471,113,1700,459,505,161,21,0,27,107,98,46,45,0,0,41780,41233,25938,716,28991,51159,40219,49969,58986,2226,2129,826,1587,97,562,0,1537,1135,1027,930,562,533,97,108,108,0,108,0,402,402,101,383,0,36,41,100,36,0,0,39.9,46.5,100,30.7,43.2,41.4,51.6,39.2,26.5,27.8,11,36.9,22.4,ACS_Economic_DC_CensusTract_152,,{A4722D1F-DD90-466F-8907-90294713DC5F},009810,0,0
150,108,661580,0,11001010800,"Census Tract 108; District of Columbia; District of Columbia",4064,1705,1705,1480,225,0,2359,1705,13.2,2257,986,986,841,5,5,14,14,1395,90,31,193,766,63,252,15.5,1480,784,212,441,9,34,1480,0,16,6,0,107,22,14,76,191,589,214,76,169,1480,1168,291,16,5,902,163,62,110,135,59,111,97,49,33,83,34568,72717,709,77604,33,31385,93,54780,42,0,31,7881,61,77,0,0,23,0,0,7,7,15,0,25,112917,151840,20731,825,34216,65333,4989,80972,56250,4083,4027,3858,334,56,820,5,3234,1484,1289,1286,1271,87,3,195,182,144,51,13,1750,1715,1610,146,35,29.9,0,0,19.6,0,0,0,0,0,37.4,0,0,0,0,38,39,0,26.6,39.3,ACS_Economic_DC_CensusTract_153,,{EFE041D8-10F6-4DB3-8FBE-C72843B5F541},010800,0,0
151,111,5718693,366232,11001011100,"Census Tract 111; District of Columbia; District of Columbia",4243,2515,2515,2092,423,0,1728,2515,16.8,1937,1263,1263,1137,483,472,575,526,2021,908,146,277,24,9,657,34.9,2092,1332,372,226,95,67,2092,0,95,10,14,73,54,37,125,342,455,227,181,479,2092,1153,770,169,0,1927,166,382,53,27,106,217,146,301,180,349,76563,113149,1354,132453,765,10884,756,27816,153,9556,80,898,659,995,62,12,26,15,58,100,76,235,123,288,119479,158680,42610,932,0,60665,57670,87321,76389,5091,4900,3337,2294,191,1124,0,3277,2289,1891,1773,1578,273,118,398,351,85,266,47,988,962,326,812,26,9.1,6.3,0,7.6,0,0,15,17.9,0,21.3,10.6,10.6,10.4,10.8,24.2,25.4,18.7,7.6,57.2,ACS_Economic_DC_CensusTract_154,,{12388F92-6FF7-401A-9AD1-638CC08048C0},011100,0,0
152,90,1427114,31550,11001009000,"Census Tract 90; District of Columbia; District of Columbia",3192,2215,2215,2180,35,0,977,2215,1.6,1830,1191,1191,1191,126,126,299,299,2180,1549,51,201,27,27,325,32.4,2180,1297,596,261,26,0,2180,0,26,34,0,0,0,140,239,479,685,298,3,276,2180,1632,501,47,0,2289,154,49,215,59,245,460,96,499,227,285,71540,104682,1623,117986,1008,18432,796,25666,76,6547,23,0,176,596,0,0,39,0,0,109,38,197,53,160,131489,158809,68939,1693,57589,83747,69565,78771,87350,3637,3575,2458,1977,62,457,32,2047,1835,1800,1774,1285,516,26,35,35,0,35,0,212,208,119,157,4,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,7,2.3,15.4,0,10.9,ACS_Economic_DC_CensusTract_155,,{CB03BFC6-8373-4C68-9134-A848B7C4F7E9},009000,0,0
153,91.02,1816287,0,11001009102,"Census Tract 91.02; District of Columbia; District of Columbia",3619,2431,2431,2185,246,0,1188,2431,10.1,1926,1235,1235,1172,683,310,361,251,1907,826,69,632,15,74,291,28,2185,1253,430,221,94,187,2185,22,100,34,33,138,73,38,81,438,470,207,151,400,2185,1499,596,90,0,1937,146,118,174,187,207,265,118,338,171,213,58750,91966,1485,104276,426,12049,308,28327,254,9714,184,6589,473,1104,102,53,109,44,105,137,50,186,136,182,77778,107942,39615,833,49777,68962,54113,75125,81875,4753,4571,2559,2373,182,1231,53,3086,2268,2044,2021,1530,536,23,224,181,38,147,43,818,755,217,598,63,22.6,30.7,38.9,12.8,10,15.6,30.5,37.6,100,25.3,35.1,32.5,31.2,34.3,22,23.4,12.2,24.1,28.4,ACS_Economic_DC_CensusTract_156,,{1C8A5314-1E3A-4B06-94D6-11B019D90883},009102,0,0
154,98.11,467511,0,11001009811,"Census Tract 98.11; District of Columbia; District of Columbia",2807,1872,1872,1343,529,0,935,1872,28.3,1662,1048,1048,665,344,308,590,426,1322,588,58,463,0,60,153,38.1,1343,350,394,296,68,235,1343,0,79,25,0,133,161,0,62,63,346,324,95,55,1343,1104,172,67,0,1747,287,117,178,0,363,594,28,94,30,56,47398,67758,1319,64849,312,17331,285,26063,216,8385,231,4677,787,752,96,19,116,0,182,189,28,59,30,33,48619,62917,31200,995,45987,71417,29154,36216,54375,3849,3684,1472,2490,165,1101,0,2360,1695,1189,1075,715,412,114,506,506,226,280,0,665,614,110,570,51,25.7,33.5,59.2,0,0,0,44.2,52,77.4,26.3,28.4,28.4,58.8,17.9,25.5,25.1,27.8,21.5,37.1,ACS_Economic_DC_CensusTract_157,,{CD55C44A-80BB-48C6-96A2-E40FB727253F},009811,0,0
155,10.02,889722,0,11001001002,"Census Tract 10.02; District of Columbia; District of Columbia",2988,2109,2109,2099,10,0,879,2109,0.5,1672,1138,1138,1128,197,197,315,271,2053,1011,31,308,122,61,520,26.1,2099,1772,53,179,21,74,2099,0,0,0,0,27,97,45,145,672,487,139,203,284,2099,1584,436,79,0,2032,166,25,53,34,38,320,151,302,588,355,131731,138918,1725,144230,302,17379,175,59825,0,0,22,0,0,548,0,0,41,0,0,13,16,42,188,248,193030,215124,81977,1484,104516,110338,92790,103011,127188,3438,3424,3217,545,14,568,0,2469,1964,1954,1954,1954,0,0,10,10,10,0,0,505,491,450,184,14,0,0,0,0,0,0,0,0,0,13.8,0.8,0,0,0,16.2,18.7,0,0,24.6,ACS_Economic_DC_CensusTract_158,,{9B5E8C73-409D-475F-94E8-D49FC4A9E656},001002,0,0
156,78.07,522749,0,11001007807,"Census Tract 78.07; District of Columbia; District of Columbia",2023,1278,1278,915,363,0,745,1278,28.4,976,536,536,453,137,79,321,267,915,371,96,301,44,9,94,43,915,301,237,246,60,71,915,19,97,0,12,92,94,0,62,107,112,117,25,178,915,533,324,58,0,918,87,27,16,67,201,68,237,78,80,57,73542,82394,731,82011,250,16725,242,23414,60,15975,96,2113,225,451,8,20,8,22,148,51,43,45,80,26,59236,89836,33227,467,84031,67259,35844,63500,75515,2407,2345,1243,1377,62,475,0,1663,1213,857,833,494,371,24,356,353,266,87,3,450,415,214,329,35,10,18.8,36.1,0,0,0,11.1,18,0,16.7,38.2,38.2,58.4,31.6,11.6,9.3,26,16.5,17,ACS_Economic_DC_CensusTract_159,,{02A2416B-6205-4A9C-9E80-705EABDE210F},007807,0,0
157,78.06,671434,0,11001007806,"Census Tract 78.06; District of Columbia; District of Columbia",2080,1144,1144,1028,116,0,936,1144,10.1,930,615,615,569,119,103,175,138,1028,449,68,371,0,71,69,41.6,1028,547,210,127,124,20,1028,0,72,0,8,89,25,19,30,218,129,91,82,265,1028,587,359,82,0,1233,99,117,84,125,209,186,45,164,115,89,39968,85255,814,107625,387,14830,260,37094,31,0,19,0,321,436,28,0,6,69,10,117,33,20,95,58,68846,104901,45376,797,37705,71191,50850,51750,97037,2382,2161,1075,1349,221,333,74,1630,1084,975,846,639,257,129,109,106,28,106,3,546,531,95,441,15,6.4,21.4,39.3,0,0,0,10.6,32.9,100,15.8,16.9,16.9,24.4,12.5,15.7,17.9,6.9,6,29.1,ACS_Economic_DC_CensusTract_160,,{3DC9A4B1-4EDF-47F1-A185-9869B5179003},007806,0,0
158,78.08,936852,7722,11001007808,"Census Tract 78.08; District of Columbia; District of Columbia",2932,1653,1653,1375,278,0,1279,1653,16.8,1773,1015,1015,852,107,107,1271,771,1375,612,132,283,47,0,301,38.3,1375,671,215,388,0,101,1375,0,25,6,20,81,111,28,52,135,444,164,138,171,1375,872,487,16,0,1577,236,52,179,72,139,294,207,267,88,43,63457,69681,1066,83770,455,11236,364,28107,170,12254,123,11331,351,869,81,44,69,56,30,138,145,175,88,43,75842,86882,26811,708,43136,46311,56058,80833,70250,4200,4139,1835,2626,61,1513,0,2179,1543,1286,1276,938,344,10,257,244,49,195,13,636,598,49,549,38,23.4,26,0,0,0,0,30.2,30.6,0,29.9,31.9,31.9,61.6,30.3,28.9,31.2,18.7,29.4,31.9,ACS_Economic_DC_CensusTract_161,,{45C86095-EFAB-4A1F-8FFA-D359733FA73F},007808,0,0
159,92.01,629781,0,11001009201,"Census Tract 92.01; District of Columbia; District of Columbia",2472,1773,1753,1668,85,20,699,1753,4.8,1291,956,956,918,295,276,285,285,1675,530,48,455,173,64,405,29.1,1668,1150,239,188,64,27,1668,13,64,36,0,52,24,114,31,222,417,157,194,344,1668,1059,502,107,0,1242,138,56,22,115,134,84,71,166,128,328,100250,144289,1056,152197,111,24386,158,22427,24,8946,9,0,33,481,0,0,4,0,37,33,9,58,67,273,211495,247118,60262,761,42043,78549,61625,102353,102148,3033,2776,2592,441,257,644,134,2193,1676,1611,1525,1477,137,86,65,65,37,28,0,517,480,423,79,37,0.8,1.4,0,0,0,0,6.9,12.1,0,21.1,0.6,0.6,0,1.1,26.7,27.6,16.8,0.5,45.3,ACS_Economic_DC_CensusTract_162,,{53FB9BF0-528B-4B45-9685-AF8AFBFCC71E},009201,0,0
160,92.03,581087,0,11001009203,"Census Tract 92.03; District of Columbia; District of Columbia",2972,2121,2121,1823,298,0,851,2121,14,1745,1262,1262,1032,238,221,127,43,1823,502,164,335,96,163,563,32.2,1823,1279,125,307,9,103,1823,0,39,9,0,305,72,79,172,352,246,145,258,146,1823,1425,341,57,0,1537,127,15,125,74,34,358,90,147,237,330,97610,130959,1288,138179,203,16237,338,26739,61,8569,113,9831,428,770,18,0,93,0,0,113,54,137,154,201,117396,163055,56785,767,67977,87849,59803,94459,59167,3337,3152,2508,713,185,365,0,2604,2062,1796,1748,1620,146,48,266,227,172,55,39,542,472,335,137,70,6.2,21.9,0,5.2,16.1,0,8.9,40.9,0,9.2,15.3,15.3,0,36.6,8.4,8.9,4.6,7.3,12.5,ACS_Economic_DC_CensusTract_163,,{CAEA088C-045A-497A-AF90-45769912CFD4},009203,0,0
161,93.01,1109091,0,11001009301,"Census Tract 93.01; District of Columbia; District of Columbia",2939,2100,2094,2059,35,6,839,2094,1.7,1463,966,966,966,327,327,190,177,2014,770,101,446,9,78,610,34.4,2059,1527,116,218,128,70,2059,0,52,35,7,114,203,48,45,494,242,78,311,430,2059,1309,570,158,22,1524,35,0,48,70,55,40,228,248,166,634,166037,191834,1260,203998,364,17942,387,50036,81,12541,9,0,97,775,0,0,22,0,22,21,61,19,131,499,250001,248912,78573,749,105843,132131,101021,125778,101515,3499,3394,2696,1141,105,614,0,2382,1955,1920,1886,1683,251,34,35,12,0,12,23,427,379,181,212,48,1.4,0,0,0,0,0,6.4,0,0,8.1,0,0,0,0,9.8,10.1,8.3,1.1,21.8,ACS_Economic_DC_CensusTract_164,,{C08FE435-523D-4250-9C85-2AD1FC7373A4},009301,0,0
162,93.02,391905,0,11001009302,"Census Tract 93.02; District of Columbia; District of Columbia",1457,1286,1286,1221,65,0,171,1286,5.1,669,647,647,647,117,103,188,188,1215,335,30,422,48,102,278,30.6,1221,725,111,179,65,141,1221,0,105,14,0,77,78,39,46,206,153,97,214,192,1221,914,209,98,0,962,34,50,144,22,18,43,153,192,114,192,105833,139616,875,137463,107,13667,108,14743,8,0,32,0,88,379,0,0,17,8,11,10,99,27,37,170,179688,222051,74801,583,79148,83300,67734,79524,85385,1762,1609,1384,345,153,305,0,1367,1259,1194,1056,939,169,138,65,57,0,57,8,108,101,95,6,7,4.5,0,0,0,0,0,21.5,0,0,12.7,0,0,0,0,15.3,15,20,3.5,24.5,ACS_Economic_DC_CensusTract_165,,{32A7B544-3418-4C2B-81C4-7E5221A954E0},009302,0,0
163,11,1676650,0,11001001100,"Census Tract 11; District of Columbia; District of Columbia",3966,2500,2500,2441,59,0,1466,2500,2.4,2221,1343,1343,1311,219,219,616,598,2345,657,208,647,139,81,613,26.5,2441,1759,326,320,36,0,2441,0,66,24,24,73,0,227,65,638,598,159,364,203,2441,1999,249,193,0,2109,218,67,50,35,148,150,95,239,85,1022,176875,253400,1390,254337,676,31032,563,87081,0,0,11,0,0,1121,0,0,17,0,78,25,19,169,95,718,250001,348895,122838,988,71290,137878,74815,171125,84808,4666,4584,4195,1115,82,870,0,2606,2236,2177,2095,2095,13,82,59,59,59,0,0,370,370,363,7,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,9.9,12.8,3.6,0,27.6,ACS_Economic_DC_CensusTract_166,,{B7A84268-523D-4C70-AEA7-474186B060EB},001100,0,0
164,12,1219204,0,11001001200,"Census Tract 12; District of Columbia; District of Columbia",4249,2988,2988,2796,192,0,1261,2988,6.4,2245,1558,1558,1414,252,225,496,457,2796,818,26,923,216,116,697,27.8,2796,2336,161,299,0,0,2796,0,0,17,0,112,0,112,185,1029,494,150,189,508,2796,1713,799,284,0,2519,164,19,154,64,70,238,379,229,270,932,134049,190272,2059,179492,587,25527,533,66162,55,7231,10,0,99,1132,0,19,0,0,0,23,38,109,155,788,250001,307762,97490,1387,76472,90367,91725,103056,136563,4919,4891,4470,1013,28,777,0,3053,2675,2483,2467,2383,84,16,192,192,192,23,0,378,366,342,34,12,1.7,0,0,2,0,0,0,0,0,7.1,0,0,0,0,8.4,9.3,5.8,1.2,16.9,ACS_Economic_DC_CensusTract_167,,{3F7B92F7-E5A4-415A-8D3A-CDA5C7257E7C},001200,0,0
165,14.01,788095,0,11001001401,"Census Tract 14.01; District of Columbia; District of Columbia",2483,1918,1918,1863,55,0,565,1918,2.9,1244,900,900,883,397,348,475,343,1863,683,8,374,70,49,679,32.9,1863,1629,81,142,8,3,1863,0,30,41,0,38,21,97,95,448,310,88,140,555,1863,1089,698,76,0,1329,33,14,0,24,74,75,135,135,149,690,211806,288539,1195,274535,266,32063,375,43647,18,0,0,0,82,828,0,0,0,3,9,16,10,65,81,644,250001,400590,118002,501,80972,102419,147727,177022,140167,3326,3294,3000,656,32,872,0,1871,1711,1656,1624,1530,117,32,55,55,38,17,0,160,160,147,13,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,4.9,3.9,8.2,0,19.5,ACS_Economic_DC_CensusTract_168,,{0E0916DB-6BD7-4F72-ABDF-E19AC12A2D6F},001401,0,0
166,109,2381015,2933566,11001010900,"Census Tract 109; District of Columbia; District of Columbia",2529,1575,1575,1339,236,0,954,1575,15,1218,743,743,729,496,415,304,241,1307,408,228,321,161,73,116,33.5,1339,440,339,237,205,118,1339,37,239,0,0,41,134,13,54,120,384,116,79,122,1339,1028,268,43,0,1184,159,86,230,121,139,164,52,124,95,14,34851,56926,860,66378,228,7407,141,29921,292,8112,97,5491,636,593,49,0,93,71,99,75,52,45,95,14,44509,73956,25402,591,21599,35356,35591,85102,43988,3338,3246,1316,2154,92,988,34,2123,1475,1254,1216,783,532,38,221,218,24,194,3,648,631,86,573,17,11.8,21.9,52.7,0,0,0,18.8,29.2,52.7,24.1,22.6,17.8,13.9,21.6,24.7,22.1,48.9,10.9,46.9,ACS_Economic_DC_CensusTract_169,,{D883764E-3A06-4D13-8431-3FABF4AFCE59},010900,0,0
167,104,2602393,7006,11001010400,"Census Tract 104; District of Columbia; District of Columbia",3979,2644,2644,2181,463,0,1335,2644,17.5,2132,1664,1664,1450,324,324,467,430,2124,837,75,791,0,67,354,33.4,2181,1141,599,242,40,159,2181,0,271,49,17,43,181,65,197,168,276,253,110,551,2181,1155,989,37,0,2288,295,32,68,90,342,265,342,206,287,361,83571,101475,1867,108882,202,11102,298,43300,149,12695,189,3956,532,665,94,0,0,11,145,113,148,21,35,98,68955,93535,50161,1623,90511,103969,57614,76116,103870,4547,4107,2273,2318,440,837,34,3205,2542,2091,1993,1511,522,98,451,348,128,273,103,663,458,34,424,205,14.1,19.5,0,7.9,32.2,0,20.7,19.3,0,27.5,26.7,26.7,42.1,18,27.7,27.2,30.7,16.1,38.1,ACS_Economic_DC_CensusTract_170,,{D33295D4-603D-48F8-A206-FA5645E02BF4},010400,0,0
168,87.02,486411,0,11001008702,"Census Tract 87.02; District of Columbia; District of Columbia",3132,2697,2693,2616,77,4,435,2693,2.9,1838,1627,1627,1552,150,150,202,169,2582,509,29,984,322,115,623,29.1,2616,1877,174,467,50,48,2616,0,50,21,0,85,67,225,277,683,330,78,329,471,2616,1991,591,34,0,2021,71,18,125,45,76,180,484,489,283,250,101198,122810,1919,124943,95,17364,58,40422,76,9432,160,0,95,353,0,0,0,0,41,11,54,50,54,143,161382,185339,71006,1668,94573,108534,74901,88445,78125,3426,3265,2711,618,161,375,38,2916,2587,2510,2466,2220,279,44,77,39,17,22,38,329,288,144,144,41,4.5,9.5,0,0,0,0,21.9,31.4,0,9.1,9.4,9.4,0,16.3,9.1,9,11.1,6.8,10.3,ACS_Economic_DC_CensusTract_141,,{CA3AF775-F4C0-41EE-841A-4C60E4BA4B47},008702,0,0
169,99.03,383679,0,11001009903,"Census Tract 99.03; District of Columbia; District of Columbia",1838,1399,1399,1027,372,0,439,1399,26.6,894,685,685,583,242,204,303,253,1026,387,120,284,13,28,194,37.2,1027,555,262,133,17,60,1027,25,8,0,0,56,41,17,21,160,278,43,43,335,1027,472,497,58,0,683,40,0,39,20,101,124,20,97,65,177,98958,127002,603,130853,178,16352,105,27466,26,6142,165,5367,185,473,0,0,39,7,69,35,20,110,43,150,142375,151044,38836,210,53333,58554,47865,110417,74167,2355,2303,1413,1335,52,662,0,1484,1305,968,919,745,283,49,337,337,37,337,0,179,176,78,121,3,7.4,6.6,0,0,0,0,7.7,14.9,0,9,3.7,3.7,0,6.3,10.8,9.3,21.5,5.7,27.2,ACS_Economic_DC_CensusTract_171,,{6F4CFD55-74F9-4CA0-BCC6-6B5C00EA9F67},009903,0,0
170,99.04,426198,0,11001009904,"Census Tract 99.04; District of Columbia; District of Columbia",2216,1636,1636,1449,187,0,580,1636,11.4,1162,870,870,790,280,102,616,420,1419,669,89,369,18,16,258,35.4,1449,650,368,251,64,116,1449,0,96,0,28,207,39,13,119,326,218,30,197,176,1449,1002,405,42,0,1323,167,53,44,73,149,215,162,176,148,136,71205,89577,1101,98605,144,13827,187,30167,47,17972,101,1633,324,627,30,0,17,55,91,154,94,35,136,15,61705,84981,35805,696,73300,79656,51335,53156,86146,3169,3065,1417,1763,104,1013,0,1996,1594,1407,1373,1038,354,34,187,153,16,137,34,402,377,133,289,25,21.1,33.9,0,27.1,61.5,0,21.5,30.1,0,28.4,42.2,42.2,56.6,36.8,21.9,22.9,8.8,27.7,29.9,ACS_Economic_DC_CensusTract_172,,{63234B17-CD4C-49D5-B71A-99D92972A39D},009904,0,0
171,87.01,382686,0,11001008701,"Census Tract 87.01; District of Columbia; District of Columbia",2449,1840,1840,1811,29,0,609,1840,1.6,1171,912,912,892,104,87,128,128,1804,498,10,589,63,156,488,38.4,1811,1264,110,401,27,9,1811,0,40,187,0,38,101,44,29,542,401,98,88,243,1811,1373,391,47,0,1130,0,0,46,0,83,147,140,90,171,453,174063,186994,986,193015,63,20305,103,20281,43,12977,28,0,104,594,0,0,30,0,0,101,93,26,64,280,196250,201471,78487,536,117500,144023,78869,121250,78370,2650,2590,2140,526,60,322,16,2151,1714,1685,1641,1525,129,44,29,29,18,11,0,437,437,329,108,0,5.1,21,8.9,0,0,0,14.7,44.8,45.5,15.1,17.9,17.9,12.4,21.7,14.8,15.8,2.8,7,25.4,ACS_Economic_DC_CensusTract_139,,{5C90D36D-FB64-473E-8FE1-6DABE7A6B1FB},008701,0,0
172,80.02,578961,0,11001008002,"Census Tract 80.02; District of Columbia; District of Columbia",2444,2037,2011,1911,100,26,407,2011,5,1239,1068,1042,1004,400,383,461,433,1937,532,80,392,209,205,519,27.6,1911,1599,129,174,9,0,1911,0,17,45,0,39,35,107,88,438,359,46,203,534,1911,1135,715,61,0,1410,82,22,39,18,38,125,128,270,174,514,137813,183858,1213,199026,163,24993,177,38805,12,0,64,1183,159,613,27,0,7,0,17,33,59,55,103,312,206719,238934,78537,797,122336,138818,103100,130547,110321,3237,3132,2688,612,105,865,24,2083,1963,1863,1814,1703,120,49,100,90,55,35,10,120,98,65,33,22,5.5,6.3,0,1.6,0,0,15.8,15.8,0,7.3,3.6,3.6,0,5.9,8.7,6.8,22.5,3.8,13,ACS_Economic_DC_CensusTract_140,,{609317BB-D97B-4022-83E2-C4484C0141C7},008002,0,0
173,21.02,725975,0,11001002102,"Census Tract 21.02; District of Columbia; District of Columbia",3992,2803,2803,2564,239,0,1189,2803,8.5,2088,1518,1518,1400,366,366,494,352,2361,1262,200,485,11,29,374,39.3,2564,1736,475,212,42,99,2564,28,48,67,0,80,94,19,126,667,481,259,162,533,2564,1538,714,312,0,2254,204,87,178,156,168,228,258,360,199,416,87594,115660,1830,127325,449,21458,404,23707,172,11240,88,6970,325,1130,81,60,58,48,91,160,50,224,64,294,109524,133918,54935,1124,80780,96384,80132,104315,97538,4758,4493,3295,1816,265,910,0,3197,2571,2354,2124,1863,301,230,217,217,89,134,0,626,591,184,510,35,16.4,34.5,38,15.1,31.8,0,16.3,40.5,100,19.5,19,19,26,13.8,19.6,20.8,13.5,17.7,23.7,ACS_Economic_DC_CensusTract_175,,{94A79A77-FF54-44FD-9519-9D979D9E7567},002102,0,0
