OBJECTID,NAME20,ALAND20,AWATER20,GEOID,NAME,DP03_0001E,DP03_0002E,DP03_0003E,DP03_0004E,DP03_0005E,DP03_0006E,DP03_0007E,DP03_0008E,DP03_0009P,DP03_0010E,DP03_0011E,DP03_0012E,DP03_0013E,DP03_0014E,DP03_0015E,DP03_0016E,DP03_0017E,DP03_0018E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0023E,DP03_0024E,DP03_0025E,DP03_0026E,DP03_0027E,DP03_0028E,DP03_0029E,DP03_0030E,DP03_0031E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E,DP03_0047E,DP03_0048E,DP03_0049E,DP03_0050E,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E,DP03_0064E,DP03_0065E,DP03_0066E,DP03_0067E,DP03_0068E,DP03_0069E,DP03_0070E,DP03_0071E,DP03_0072E,DP03_0073E,DP03_0074E,DP03_0075E,DP03_0076E,DP03_0077E,DP03_0078E,DP03_0079E,DP03_0080E,DP03_0081E,DP03_0082E,DP03_0083E,DP03_0084E,DP03_0085E,DP03_0086E,DP03_0087E,DP03_0088E,DP03_0089E,DP03_0090E,DP03_0091E,DP03_0092E,DP03_0093E,DP03_0094E,DP03_0095E,DP03_0096E,DP03_0097E,DP03_0098E,DP03_0099E,DP03_0100E,DP03_0101E,DP03_0102E,DP03_0103E,DP03_0104E,DP03_0105E,DP03_0106E,DP03_0107E,DP03_0108E,DP03_0109E,DP03_0110E,DP03_0111E,DP03_0112E,DP03_0113E,DP03_0114E,DP03_0115E,DP03_0116E,DP03_0117E,DP03_0118E,DP03_0119P,DP03_0120P,DP03_0121P,DP03_0122P,DP03_0123P,DP03_0124P,DP03_0125P,DP03_0126P,DP03_0127P,DP03_0128P,DP03_0129P,DP03_0130P,DP03_0131P,DP03_0132P,DP03_0133P,DP03_0134P,DP03_0135P,DP03_0136P,DP03_0137P,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,TRACTCE,SHAPEAREA,SHAPELEN
135,84.10,219939,0,11001008410,"Census Tract 84.10; District of Columbia; District of Columbia",1600,1327,1327,1284,43,0,273,1327,3.2,871,734,734,691,324,226,311,202,1276,272,75,231,73,101,524,29.4,1284,1114,34,100,7,29,1284,6,6,28,9,50,53,82,22,430,193,107,132,166,1284,925,321,38,0,837,0,24,7,26,54,59,17,72,130,448,208044,251833,809,205587,90,18843,106,14897,34,12562,33,3100,79,450,8,5,0,7,0,8,17,46,21,338,250001,323614,94288,387,154777,166184,111250,148750,115500,2189,2132,1826,401,57,675,37,1419,1303,1260,1240,1195,82,20,43,43,14,29,0,116,116,64,65,0,2.9,2.7,0,0,0,0,36.1,25.8,0,3,1.5,1.5,0,2.6,3.7,2.3,25.3,2.2,5.3,ACS_Economic_DC_CensusTract_138,,{A78E65DD-5C90-4069-AE16-7AF80556F61C},008410,0,0
136,102.01,174884,0,11001010201,"Census Tract 102.01; District of Columbia; District of Columbia",2535,2242,2242,2121,121,0,293,2242,5.4,1080,936,936,913,46,46,256,256,2121,547,72,644,275,164,419,28.5,2121,1682,68,285,0,86,2121,0,15,10,27,27,148,39,85,942,185,90,204,349,2121,1572,447,102,0,1966,63,19,80,74,170,322,424,247,157,410,93178,122313,1745,127958,167,15835,163,52396,14,0,0,0,38,314,9,0,0,0,24,59,41,0,26,155,172308,164058,83125,1652,90851,113459,87035,99904,80290,2837,2673,2568,389,164,302,87,2265,2191,2070,1993,1969,106,77,121,121,121,0,0,74,74,52,22,0,2.9,0,0,3.5,0,0,0,0,0,4.2,0,0,0,0,4.7,4.1,10,1.6,5.3,ACS_Economic_DC_CensusTract_84,,{F0B775A1-62F0-478C-9870-B92883E1BA1C},010201,0,0
137,110.01,152450,0,11001011001,"Census Tract 110.01; District of Columbia; District of Columbia",2238,1777,1708,1661,47,69,461,1708,2.8,1395,1027,1027,980,205,151,174,24,1730,629,0,298,109,50,644,27.5,1661,1326,164,145,0,26,1661,0,0,0,0,48,16,124,284,475,195,106,162,251,1661,1269,370,22,0,1439,124,26,0,62,66,198,163,356,334,110,135356,119019,1118,127484,261,20324,311,53056,0,0,43,0,67,523,43,0,0,0,0,44,0,217,122,97,139707,157757,64675,916,88478,96900,74800,98164,72390,2538,2512,1998,799,26,379,0,1837,1632,1585,1559,1483,76,26,47,47,0,47,0,205,205,131,100,0,8.2,29.7,0,0,0,0,38.1,49.4,0,13.6,53.8,53.8,26.3,86.2,6.7,6.5,8.1,16.8,9.4,ACS_Economic_DC_CensusTract_85,,{829B55B9-F1C7-4EEB-A10E-01D7C1BFC532},011001,0,0
138,72.03,384178,0,11001007203,"Census Tract 72.03; District of Columbia; District of Columbia",2632,2225,2180,2123,57,45,407,2180,2.6,1486,1264,1242,1190,219,190,112,112,2116,573,27,393,390,47,686,23.6,2123,1930,35,158,0,0,2123,0,0,54,0,56,32,102,111,765,250,121,136,496,2123,1372,720,31,0,1716,61,101,13,1,39,32,93,327,436,613,176515,186446,1502,197640,214,14518,209,45519,83,9495,36,5297,178,619,24,0,0,0,16,0,0,115,156,308,199913,245927,107397,1097,154073,152882,117583,152009,101696,2906,2906,2514,564,0,331,0,2343,2153,2096,2096,2058,138,0,57,57,25,32,0,190,190,45,145,0,3.9,0,0,4.2,0,0,0,0,0,7.2,0,0,0,0,8.1,7.7,12.1,4.7,10.1,ACS_Economic_DC_CensusTract_86,,{958A03A2-35EE-482F-B4FC-D401488AD1FF},007203,0,0
139,77.03,1017741,1059,11001007703,"Census Tract 77.03; District of Columbia; District of Columbia",4845,3347,3347,2852,495,0,1498,3347,14.8,2501,1515,1515,1299,1065,551,1267,1014,2852,1733,167,570,0,75,307,33.9,2852,1006,586,838,356,66,2852,0,130,0,0,511,287,0,160,467,522,171,165,439,2852,1904,660,288,0,2340,497,160,85,146,133,526,320,293,98,82,59369,64670,1802,73185,344,18444,209,23257,183,10996,251,9645,758,1370,234,90,47,108,37,277,320,161,36,60,71894,71780,23420,970,44383,54229,38638,51938,58459,6923,6321,2231,4437,602,2639,20,3753,2996,2739,2207,1388,921,532,257,257,35,225,0,757,707,120,647,50,31.8,40.2,23.3,26.3,45.7,0,42.4,41.3,23.3,33.6,41.2,41.2,43.9,39.5,29.6,29.5,29.8,32.4,39.6,ACS_Economic_DC_CensusTract_142,,{E4D8ABEE-9ED0-43F1-9CF4-49E23CFE33B6},007703,0,0
140,77.07,842851,0,11001007707,"Census Tract 77.07; District of Columbia; District of Columbia",3295,1871,1871,1622,249,0,1424,1871,13.3,1614,797,797,747,513,317,382,219,1622,767,269,448,0,0,138,33,1622,753,316,361,114,78,1622,0,57,0,97,261,122,9,145,129,284,28,111,379,1622,983,599,40,0,1808,325,97,170,160,25,331,76,127,259,238,54437,104755,1244,136813,450,14252,271,29582,192,5191,26,0,455,911,98,17,61,63,25,197,26,70,144,210,0,150683,40427,897,30905,57987,54268,86250,89609,4131,3883,1818,2362,248,952,0,2610,1798,1549,1460,1082,417,89,249,202,24,202,47,812,700,170,532,112,17.3,19.7,0,4.8,0,0,22.8,44.3,0,27.1,40.1,40.1,28.3,51.7,23.5,20.6,36.9,20,45.8,ACS_Economic_DC_CensusTract_143,,{7E84E556-DC4D-4BFC-8FC6-474AD18C4064},007707,0,0
141,77.09,828872,82685,11001007709,"Census Tract 77.09; District of Columbia; District of Columbia",1829,938,938,828,110,0,891,938,11.7,1050,497,497,461,82,43,458,320,775,242,50,437,0,17,29,41.1,828,311,214,200,19,84,828,0,19,0,0,161,69,0,0,148,261,15,38,117,828,526,265,37,0,1203,274,104,80,106,107,280,86,114,6,46,38086,53921,677,79427,334,14958,158,16398,117,8065,239,5130,493,542,218,7,7,24,52,145,33,50,0,6,0,42721,28499,661,37163,50742,46750,57537,64219,2289,2132,1047,1472,157,540,0,1438,889,782,725,460,293,57,107,65,27,38,42,549,491,132,367,58,41.5,49.9,53.8,0,0,0,58.3,68.6,100,27.1,33.5,33.5,84.8,28.7,25.1,27.6,13.5,29.3,23.1,ACS_Economic_DC_CensusTract_144,,{7245EAB9-A15D-461C-ADB0-9D2B74A9D8B2},007709,0,0
142,78.03,986677,3755,11001007803,"Census Tract 78.03; District of Columbia; District of Columbia",3616,2105,2105,1858,247,0,1511,2105,11.7,1890,1160,1160,981,348,324,618,529,1805,699,40,684,50,63,269,39,1858,762,510,261,116,209,1858,17,89,15,42,125,65,0,56,229,410,295,101,414,1858,1110,651,97,0,2357,409,196,130,116,367,466,151,364,45,113,47649,68962,1525,87275,689,15377,468,19730,137,8013,188,5440,478,1148,125,58,42,17,249,255,61,243,15,83,54346,87555,34998,1209,32188,50508,50201,66530,53224,4485,4108,2632,2504,377,1035,115,2512,1931,1745,1720,1392,488,25,186,170,19,151,16,581,394,95,299,187,19.6,34.2,4.8,0,0,0,38.6,48.9,12.2,26.6,37.6,37.6,22.7,46,23.5,28.5,10.1,23,35.1,ACS_Economic_DC_CensusTract_145,,{6690753A-D57B-48D9-B8AB-49E0F33882F7},007803,0,0
143,78.04,838428,5705,11001007804,"Census Tract 78.04; District of Columbia; District of Columbia",2786,1194,1194,990,204,0,1592,1194,17.1,1690,829,829,806,523,342,1014,554,990,516,40,360,0,7,67,31.9,990,409,209,323,0,49,990,0,0,0,0,392,49,15,45,169,166,0,46,108,990,757,213,20,0,1480,57,233,180,304,83,279,142,63,71,68,34536,59134,981,64578,416,18626,277,21520,97,8607,336,8620,582,948,37,167,71,208,59,279,49,26,10,42,0,54562,21616,532,34053,67282,47806,99643,61880,3913,3756,869,3168,157,1777,0,1719,1049,949,939,449,513,10,100,41,23,41,59,670,582,11,572,88,30.8,33.1,93.8,0,0,0,34.3,35,100,33.2,41.1,41.1,54.7,37.9,27.7,29.1,21.3,36.9,15.4,ACS_Economic_DC_CensusTract_146,,{847857CA-7E71-495F-B91B-E532F2B33F70},007804,0,0
144,88.03,1168294,0,11001008803,"Census Tract 88.03; District of Columbia; District of Columbia",3386,2340,2326,2063,263,14,1046,2326,11.3,1510,1086,1086,962,105,90,314,290,1941,511,81,349,81,230,689,28.6,2063,1247,358,320,79,59,2063,0,124,12,26,123,54,16,108,635,323,313,98,231,2063,1509,386,137,31,1627,129,31,116,97,116,283,263,226,246,120,79194,93730,1486,95901,92,11010,111,12062,85,13965,239,2155,252,385,41,9,15,28,33,123,53,33,7,43,53457,82979,44005,1242,82857,96915,52132,85000,64762,3677,3429,2064,1523,248,501,0,3026,2295,2032,1919,1589,356,113,263,216,79,137,47,731,667,233,506,64,19.2,33.3,0,11,20.5,0,20.8,31.8,0,27.3,41.1,41.1,45.3,40.3,25.3,22.7,73.3,23.9,29,ACS_Economic_DC_CensusTract_147,,{1AC7C753-708B-495F-A007-D92A59527FBF},008803,0,0
